Model,Manufacturer,Model_year,Drivetrain,Warranty,Accident,Condition,Battery,Mileage,knn,knn_2,Price
Tay,P사,y0,AWD,w2,No,Brand New,90.0,278,95.81,103.0,95.82
i3,B사,y0,RWD,w2,No,Pre-Owned,46.0,109883,22.7,22.7,22.71
MX,T사,y0,AWD,w1,No,Pre-Owned,75.145,152079,90.14,90.14,90.15
i5,B사,y0,RWD,w3,No,Nearly New,66.208,18293,63.95,63.95,63.95
Niro,K사,y0,FWD,w5,No,Nearly New,56.0,24888,28.22,28.22,28.23
Tay,P사,y0,AWD,w2,No,Brand New,90.0,6049,98.0,103.0,104.5
EV6,K사,y0,FWD,w9,No,Brand New,90.0,7439,40.48,40.48,40.49
ION5,H사,y0,AWD,w9,No,Brand New,90.0,2768,35.23,35.23,35.24
iX,B사,y0,RWD,w8,No,Brand New,90.0,9139,79.37,79.37,79.37
eT,A사,y1,AWD,w5,No,Nearly New,84.05,15539,73.73,73.73,73.74
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,2801,99.99,99.99,100.0
TayCT,P사,y2,AWD,w0,No,Nearly New,76.093,22024,119.0,119.0,119.0
MY,T사,y0,AWD,w4,No,Nearly New,63.701,40985,77.98,77.98,78.34
i3,B사,y0,AWD,w7,No,Brand New,90.0,6303,24.92,24.92,24.92
MS,T사,y0,AWD,w8,No,Brand New,99.8,643,64.84,64.84,64.85
MS,T사,y1,AWD,w5,No,Nearly New,88.474,26876,84.46,84.46,84.47
TayGTS,P사,y0,AWD,w2,No,Nearly New,76.156,15430,159.09,159.09,159.09
MS,T사,y0,AWD,w7,No,Brand New,96.0,6400,69.5,69.5,69.05
ID4,V사,y0,AWD,w4,No,Nearly New,65.4,32378,41.31,41.31,41.32
MX,T사,y0,AWD,w0,No,Pre-Owned,69.253,87195,88.35,88.35,88.71
M3,T사,y0,RWD,w2,No,Pre-Owned,58.707,50261,52.51,52.51,52.51
Niro,K사,y1,FWD,w7,No,Nearly New,56.623,16632,27.88,27.88,28.85
RSeTGT,A사,y0,AWD,w4,No,Nearly New,78.227,33625,99.38,99.38,99.07
Soul,K사,y0,FWD,w1,No,Pre-Owned,46.0,53374,22.52,22.52,21.8
KNE,H사,y0,FWD,w10,No,Brand New,90.0,4129,21.88,21.88,21.89
EV6,K사,y0,AWD,w10,No,Brand New,90.0,3660,47.41,47.41,47.42
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,8645,160.44,160.44,160.44
ION5,H사,y0,AWD,w2,No,Pre-Owned,55.836,159368,34.28,34.28,34.28
ID4,V사,y0,AWD,w8,No,Brand New,90.0,627,39.55,39.55,39.55
KNE,H사,y0,FWD,w3,No,Pre-Owned,68.488,194229,27.33,27.33,27.33
Soul,K사,y0,FWD,w2,No,Pre-Owned,46.169,115274,22.53,22.53,23.4
Soul,K사,y0,AWD,w10,No,Brand New,90.0,8287,17.41,17.41,17.41
MS,T사,y1,AWD,w5,No,Nearly New,88.474,40907,84.54,84.54,84.55
KNE,H사,y0,FWD,w9,No,Brand New,90.0,2177,24.37,24.37,24.37
Niro,K사,y0,AWD,w5,No,Nearly New,56.0,16366,27.44,27.44,27.45
Tay,P사,y0,AWD,w2,No,Pre-Owned,57.134,102277,114.65,114.65,114.65
eT,A사,y0,AWD,w7,No,Brand New,91.2,2584,65.25,65.25,65.25
eT,A사,y0,AWD,w8,No,Brand New,95.0,5920,60.73,60.73,60.74
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,6579,160.06,160.06,160.06
MS,T사,y0,AWD,w7,No,Brand New,96.0,8161,69.85,69.85,69.86
ION5,H사,y0,AWD,w4,No,Pre-Owned,60.585,129654,34.64,34.64,34.88
MY,T사,y0,AWD,w7,No,Brand New,90.0,956,63.5,63.5,63.51
ID4,V사,y0,AWD,w7,No,Brand New,90.0,8866,34.11,34.11,33.78
TayGTS,P사,y1,AWD,w1,No,Nearly New,82.634,33673,159.25,159.25,159.26
i5,B사,y0,RWD,w8,No,Brand New,90.0,545,64.36,64.36,64.36
Niro,K사,y0,FWD,w4,No,Pre-Owned,50.096,106776,27.63,27.63,27.64
i3,B사,y0,RWD,w3,No,Nearly New,56.0,30385,23.46,23.46,23.47
MS,T사,y2,AWD,w6,No,Nearly New,92.16,35039,76.21,76.21,76.21
Soul,K사,y2,FWD,w8,No,Nearly New,58.982,36405,22.78,22.78,22.79
ION5,H사,y0,AWD,w9,No,Brand New,90.0,6256,35.45,35.45,35.45
M3,T사,y0,RWD,w0,No,Pre-Owned,51.94,158113,51.25,51.25,51.25
Tay,P사,y0,AWD,w2,No,Nearly New,64.578,35666,121.8,121.8,121.81
ID4,V사,y0,AWD,w7,No,Brand New,90.0,2289,33.84,33.84,33.84
ID4,V사,y0,AWD,w1,Yes,Pre-Owned,57.861,81710,40.31,40.31,40.32
ID4,V사,y0,AWD,w7,No,Brand New,90.0,846,34.92,34.92,34.92
ID4,V사,y0,AWD,w0,No,Pre-Owned,53.325,118110,39.72,39.72,39.72
ION6,H사,y0,AWD,w10,No,Brand New,90.0,7515,38.68,38.68,38.69
i3,B사,y0,RWD,w4,No,Nearly New,56.0,31103,23.35,23.35,23.36
EV6,K사,y0,FWD,w9,No,Brand New,90.0,6699,41.71,41.71,41.71
Tay,P사,y0,AWD,w2,No,Brand New,90.0,6640,103.65,95.0,103.66
IONIQ,H사,y1,FWD,w3,No,Nearly New,58.11,47548,22.92,22.92,22.92
MS,T사,y0,AWD,w1,No,Pre-Owned,75.145,184076,80.48,80.48,80.48
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,7877,120.0,121.0,120.0
i3,B사,y0,RWD,w8,No,Brand New,90.0,8687,24.95,24.95,24.95
RSeTGT,A사,y0,AWD,w0,No,Pre-Owned,78.227,187284,94.73,94.73,94.74
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,67.378,122758,151.04,151.04,151.04
ION5,H사,y0,AWD,w10,Yes,Brand New,90.0,8288,35.99,35.99,35.71
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,8772,59.07,59.07,59.08
Tay,P사,y0,AWD,w2,No,Brand New,90.0,8612,98.62,103.0,103.19
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,8009,59.32,59.32,59.32
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,5645,129.11,121.0,131.01
IONIQ,H사,y1,FWD,w1,No,Nearly New,59.85,31575,13.94,13.94,13.94
MX,T사,y0,AWD,w4,No,Nearly New,96.0,35143,93.89,93.89,93.43
Niro,K사,y2,FWD,w8,No,Nearly New,58.982,14722,28.28,28.28,27.38
i5,B사,y0,AWD,w8,No,Brand New,90.0,2720,64.92,64.92,64.93
ID4,V사,y0,AWD,w1,No,Pre-Owned,57.861,130673,40.84,40.84,40.84
IONIQ,H사,y2,FWD,w1,No,Nearly New,47.74,15734,11.77,11.77,14.97
Q4eT,A사,y0,AWD,w1,No,Pre-Owned,61.619,135633,57.32,57.32,57.33
ID4,V사,y0,AWD,w3,No,Nearly New,62.784,20707,40.86,40.86,40.87
ION5,H사,y0,AWD,w10,No,Brand New,90.0,4716,35.96,35.96,35.96
Q4eT,A사,y0,AWD,w4,No,Nearly New,69.646,14771,58.8,58.8,58.81
MY,T사,y0,AWD,w1,No,Pre-Owned,56.359,143638,76.76,76.76,76.76
i5,B사,y0,RWD,w0,No,Pre-Owned,58.577,92573,60.37,60.37,60.38
IONIQ,H사,y0,FWD,w1,No,Nearly New,46.09,35859,10.22,10.22,10.22
TayGTS,P사,y2,AWD,w0,No,Nearly New,86.077,26549,160.11,160.11,160.11
M3,T사,y0,RWD,w7,No,Brand New,90.0,4890,46.36,46.36,47.43
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,67.378,77587,151.06,151.06,151.06
ID4,V사,y0,AWD,w7,No,Brand New,90.0,6347,34.63,34.63,33.88
ION5,H사,y0,AWD,w6,No,Nearly New,65.739,39841,34.76,34.76,34.21
ION6,H사,y0,AWD,w9,No,Brand New,90.0,6949,38.97,38.97,38.97
EV6,K사,y0,FWD,w9,No,Brand New,90.0,4029,40.66,40.66,41.25
ION5,H사,y0,AWD,w10,No,Brand New,90.0,3896,35.32,35.32,35.32
iX,B사,y0,AWD,w8,No,Brand New,90.0,7713,80.51,80.51,80.51
ION6,H사,y0,AWD,w9,No,Brand New,90.0,9343,38.92,38.92,38.92
ID4,V사,y0,AWD,w7,No,Brand New,90.0,6394,34.77,34.77,34.77
MX,T사,y0,AWD,w7,No,Brand New,96.0,2232,77.84,77.84,77.84
IONIQ,H사,y2,FWD,w1,No,Pre-Owned,46.21,75303,11.27,11.27,11.27
MS,T사,y0,AWD,w7,No,Brand New,96.0,6503,69.12,69.12,69.13
i5,B사,y0,RWD,w3,No,Nearly New,66.208,25579,63.05,63.05,63.06
MS,T사,y0,AWD,w8,No,Brand New,99.8,767,64.11,64.11,64.83
iX,B사,y0,AWD,w8,No,Brand New,90.0,9566,79.51,79.51,79.52
M3,T사,y0,RWD,w8,No,Brand New,90.0,9719,54.76,54.76,54.77
i3,B사,y2,RWD,w6,No,Nearly New,56.0,30729,23.55,23.55,23.55
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,9717,122.5,121.0,130.28
eT,A사,y0,AWD,w0,No,Pre-Owned,65.791,52988,69.27,69.27,69.28
i3,B사,y0,AWD,w2,No,Pre-Owned,46.0,65792,23.49,23.49,23.5
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,9344,59.96,59.96,59.96
KNE,H사,y0,FWD,w1,No,Pre-Owned,68.488,197516,26.98,26.98,26.98
ION6,H사,y0,AWD,w9,No,Brand New,90.0,491,38.24,38.24,38.25
MX,T사,y0,AWD,w8,No,Brand New,99.8,7693,72.57,72.57,72.58
i5,B사,y2,AWD,w6,No,Nearly New,74.834,43407,63.51,63.51,63.52
eT,A사,y0,AWD,w4,No,Nearly New,80.688,20297,73.58,73.58,73.45
KNE,H사,y0,FWD,w1,No,Pre-Owned,68.488,187553,27.26,27.26,27.39
MY,T사,y0,AWD,w7,No,Brand New,90.0,1425,63.26,63.26,64.19
M3,T사,y0,RWD,w7,No,Brand New,90.0,1683,47.3,47.3,47.31
ION6,H사,y0,AWD,w4,No,Pre-Owned,60.585,57269,37.95,37.95,37.95
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,8186,159.99,159.99,160.0
KNE,H사,y0,FWD,w9,No,Brand New,90.0,137,23.86,23.86,23.86
MY,T사,y2,AWD,w6,No,Nearly New,69.12,29434,67.66,67.66,67.66
MS,T사,y0,AWD,w7,No,Brand New,96.0,4216,70.76,70.76,70.76
i5,B사,y0,RWD,w0,No,Pre-Owned,58.577,114032,60.94,60.94,60.94
Tay,P사,y0,AWD,w2,No,Brand New,90.0,650,95.57,103.0,103.37
KNE,H사,y0,FWD,w10,No,Brand New,90.0,6931,21.17,21.17,21.18
ID4,V사,y0,AWD,w7,No,Brand New,90.0,8458,34.94,34.94,34.95
TayGTS,P사,y1,AWD,w1,No,Nearly New,82.634,27309,159.3,159.3,159.31
iX,B사,y0,RWD,w8,No,Brand New,90.0,7459,79.51,79.51,79.51
M3,T사,y1,RWD,w5,No,Nearly New,66.355,43607,53.88,53.88,53.89
eT,A사,y0,AWD,w7,No,Brand New,91.2,7254,65.69,65.69,65.69
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,589,160.05,160.05,160.05
EV6,K사,y0,AWD,w9,No,Brand New,90.0,2892,41.66,41.66,41.66
ION6,H사,y0,AWD,w5,No,Nearly New,63.11,35836,37.69,37.69,37.69
ID4,V사,y0,AWD,w2,No,Pre-Owned,60.272,127772,40.32,40.32,40.33
KNE,H사,y0,FWD,w10,No,Brand New,90.0,2864,21.65,21.65,21.66
ION6,H사,y0,AWD,w10,No,Brand New,90.0,691,38.14,38.14,38.15
eT,A사,y0,AWD,w8,No,Brand New,95.0,5554,59.74,59.74,59.74
KNE,H사,y0,FWD,w2,No,Pre-Owned,68.488,139487,27.44,27.44,27.45
M3,T사,y0,RWD,w8,No,Brand New,90.0,550,54.17,54.17,54.17
i3,B사,y0,RWD,w0,No,Pre-Owned,46.0,124833,22.26,22.26,22.25
ION6,H사,y0,AWD,w2,No,Pre-Owned,55.836,198430,36.86,36.86,37.1
i5,B사,y1,RWD,w5,No,Nearly New,71.841,30576,60.66,60.66,60.66
Soul,K사,y0,AWD,w5,No,Nearly New,56.0,18277,22.76,22.76,23.37
Niro,K사,y0,FWD,w6,No,Nearly New,56.0,17110,28.12,28.12,28.13
Q4eT,A사,y0,AWD,w4,No,Nearly New,69.646,30578,59.0,59.0,59.0
ID4,V사,y0,AWD,w7,No,Brand New,90.0,1038,34.55,34.55,34.56
KNE,H사,y1,FWD,w7,No,Nearly New,68.488,33161,28.96,28.96,28.96
ID4,V사,y0,AWD,w2,No,Pre-Owned,60.272,177603,39.34,39.34,39.34
EV6,K사,y0,FWD,w9,No,Brand New,90.0,2166,40.78,40.78,40.78
ION5,H사,y0,AWD,w5,No,Nearly New,63.11,27889,34.96,34.96,34.96
eT,A사,y0,AWD,w0,No,Pre-Owned,65.791,66002,70.01,70.01,69.87
ID4,V사,y1,AWD,w5,No,Nearly New,68.125,36110,41.59,41.59,41.6
iX,B사,y0,RWD,w8,No,Brand New,90.0,2855,79.92,79.92,79.92
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,6072,59.95,59.95,59.95
MX,T사,y0,AWD,w7,No,Brand New,96.0,8367,77.43,77.43,77.44
ION6,H사,y2,AWD,w8,No,Nearly New,71.332,31178,37.49,37.49,37.49
Tay,P사,y0,AWD,w2,Yes,Pre-Owned,54.849,146624,115.45,115.45,115.45
iX,B사,y0,RWD,w7,No,Brand New,90.0,6527,80.02,80.02,80.02
KNE,H사,y0,FWD,w10,No,Brand New,90.0,9536,21.8,21.8,21.81
KNE,H사,y0,FWD,w10,No,Brand New,90.0,4579,22.38,22.38,22.38
MX,T사,y0,AWD,w7,No,Brand New,96.0,5825,78.18,78.18,78.02
ID4,V사,y0,AWD,w4,No,Nearly New,65.4,15017,41.59,41.59,41.59
Tay,P사,y0,AWD,w2,No,Brand New,90.0,1780,103.82,95.0,103.83
TayGTS,P사,y0,AWD,w2,No,Nearly New,76.156,11537,159.07,159.07,159.08
i3,B사,y1,RWD,w5,No,Nearly New,56.0,30987,23.82,23.82,23.82
eT,A사,y0,AWD,w7,No,Brand New,91.2,6742,65.27,65.27,65.28
Niro,K사,y0,AWD,w4,No,Pre-Owned,50.096,62397,28.62,28.62,28.63
iX,B사,y0,RWD,w8,No,Brand New,90.0,5310,80.32,80.32,80.32
ION6,H사,y0,AWD,w1,No,Pre-Owned,53.602,186670,37.04,37.04,37.04
iX,B사,y0,RWD,w8,No,Brand New,90.0,1572,80.55,80.55,80.55
MX,T사,y0,AWD,w2,No,Pre-Owned,78.276,184442,91.05,91.05,91.06
iX,B사,y0,AWD,w7,No,Brand New,90.0,1066,80.32,80.32,80.32
M3,T사,y0,RWD,w3,No,Nearly New,61.153,39319,53.25,53.25,53.26
MY,T사,y0,AWD,w4,No,Nearly New,63.701,22256,78.99,78.99,78.99
ION6,H사,y2,AWD,w8,No,Nearly New,71.332,16622,37.99,37.99,38.0
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,39,160.08,160.08,160.56
MY,T사,y0,AWD,w0,No,Pre-Owned,51.94,144142,73.88,73.88,73.88
Soul,K사,y0,FWD,w9,No,Brand New,90.0,6480,21.02,21.02,21.03
ID4,V사,y0,AWD,w0,No,Pre-Owned,55.547,61813,39.94,39.94,39.94
MS,T사,y0,AWD,w8,No,Brand New,99.8,3955,64.61,64.61,64.61
i5,B사,y2,RWD,w6,No,Nearly New,74.834,43424,63.95,63.95,63.95
iX,B사,y0,AWD,w7,No,Brand New,90.0,661,79.74,79.74,79.75
M3,T사,y0,RWD,w0,No,Pre-Owned,54.104,143086,50.58,50.58,50.58
i3,B사,y0,RWD,w0,No,Pre-Owned,46.0,117128,22.12,22.12,22.13
Niro,K사,y0,FWD,w5,No,Nearly New,56.0,29254,28.4,28.4,27.44
EV6,K사,y0,AWD,w9,No,Brand New,90.0,6946,41.21,41.21,41.21
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,64.683,67665,151.07,151.07,151.07
MY,T사,y0,AWD,w7,No,Brand New,90.0,2457,64.63,64.63,64.63
iX,B사,y0,AWD,w8,No,Brand New,90.0,111,80.06,80.06,80.06
i5,B사,y0,RWD,w2,Yes,Pre-Owned,63.56,120151,63.32,63.32,63.32
ION5,H사,y0,AWD,w9,No,Brand New,90.0,5841,35.27,35.27,35.27
i3,B사,y0,AWD,w7,No,Brand New,90.0,689,24.84,24.84,25.0
i5,B사,y0,AWD,w0,No,Pre-Owned,56.234,147588,60.18,60.18,60.18
KNE,H사,y0,FWD,w10,No,Brand New,90.0,2656,21.92,21.92,22.42
KNE,H사,y0,FWD,w10,No,Brand New,90.0,1070,22.37,22.37,22.37
ID4,V사,y0,AWD,w0,No,Pre-Owned,55.547,101974,38.07,38.07,38.07
Soul,K사,y0,FWD,w6,No,Nearly New,56.0,31020,23.28,23.28,23.29
Tay,P사,y0,AWD,w2,No,Nearly New,64.578,15784,121.87,121.87,121.88
MX,T사,y2,AWD,w6,No,Nearly New,92.16,45523,84.46,84.46,84.47
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,5072,159.99,159.99,160.0
ID4,V사,y0,AWD,w0,No,Pre-Owned,55.547,185349,38.57,38.57,38.57
MY,T사,y0,AWD,w8,No,Brand New,90.0,1109,75.0,75.0,75.01
ID4,V사,y0,AWD,w3,No,Nearly New,62.784,12367,40.29,40.29,40.3
RSeTGT,A사,y1,AWD,w5,No,Nearly New,78.227,45741,99.21,99.21,99.19
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,166087,124.27,125.0,124.28
M3,T사,y0,RWD,w8,No,Brand New,90.0,709,54.39,54.39,54.91
Niro,K사,y0,AWD,w4,No,Pre-Owned,50.096,55615,28.02,28.02,28.02
Q4eT,A사,y0,AWD,w0,No,Pre-Owned,59.154,179703,55.82,55.82,55.82
i3,B사,y1,RWD,w5,No,Nearly New,56.0,33535,23.33,23.33,23.33
Niro,K사,y0,AWD,w6,No,Nearly New,56.0,32413,28.35,28.35,27.45
ION5,H사,y0,AWD,w1,No,Pre-Owned,53.602,80901,34.24,34.24,34.1
iX,B사,y0,AWD,w7,No,Brand New,90.0,36,79.9,79.9,80.1
KNE,H사,y0,FWD,w9,No,Brand New,90.0,9440,24.1,24.1,24.11
eT,A사,y1,AWD,w5,No,Nearly New,84.05,10176,74.38,74.38,74.38
Niro,K사,y0,FWD,w10,No,Brand New,90.0,5543,21.24,21.24,21.25
M3,T사,y0,RWD,w7,No,Brand New,90.0,5669,47.13,47.13,47.14
EV6,K사,y0,FWD,w10,No,Brand New,90.0,5239,46.9,46.9,46.91
MX,T사,y0,AWD,w3,No,Nearly New,81.537,43907,94.16,94.16,94.17
MS,T사,y2,AWD,w6,No,Nearly New,92.16,22011,75.87,75.87,75.88
EV6,K사,y0,FWD,w10,No,Brand New,90.0,2472,47.16,47.16,47.17
iX,B사,y0,RWD,w7,No,Brand New,90.0,3272,80.66,80.66,80.67
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,1296,100.86,100.86,100.86
TayGTS,P사,y2,AWD,w0,No,Nearly New,86.077,11340,159.98,159.98,159.99
i3,B사,y1,RWD,w5,No,Nearly New,56.0,25373,24.0,24.0,24.0
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,9632,59.92,59.92,59.93
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,4446,124.22,121.0,128.93
M3,T사,y2,RWD,w6,No,Nearly New,69.12,35993,50.47,50.47,50.48
ION6,H사,y0,AWD,w6,No,Nearly New,65.739,14539,37.26,37.26,37.27
Soul,K사,y0,FWD,w9,No,Brand New,90.0,6338,19.65,19.65,19.66
Tay,P사,y0,AWD,w2,No,Brand New,90.0,4514,96.71,103.0,96.71
RSeTGT,A사,y0,AWD,w0,No,Pre-Owned,78.227,192375,93.99,93.99,94.0
MY,T사,y0,AWD,w1,Yes,Pre-Owned,56.359,91318,77.31,77.31,77.31
Q4eT,A사,y0,AWD,w1,No,Pre-Owned,61.619,156611,57.06,57.06,57.06
iX,B사,y0,AWD,w7,No,Brand New,90.0,1185,79.47,79.47,79.47
Soul,K사,y0,FWD,w9,No,Brand New,90.0,83,20.27,20.27,20.27
ID4,V사,y0,AWD,w7,No,Brand New,90.0,1881,34.48,34.48,34.48
EV6,K사,y0,AWD,w9,No,Brand New,90.0,2689,40.42,40.42,40.43
ION5,H사,y1,AWD,w7,No,Nearly New,68.479,46084,35.0,35.0,35.0
KNE,H사,y0,FWD,w10,No,Brand New,90.0,8295,20.71,20.71,20.72
ID4,V사,y0,AWD,w8,No,Brand New,90.0,1131,40.5,40.5,40.5
i3,B사,y0,RWD,w0,No,Pre-Owned,46.0,177104,22.66,22.66,22.67
TayCT,P사,y0,AWD,w2,No,Nearly New,76.093,28445,131.71,131.71,131.71
ID4,V사,y0,AWD,w8,No,Brand New,90.0,3999,41.05,41.05,41.05
i3,B사,y0,RWD,w0,No,Pre-Owned,46.0,152261,22.7,22.7,22.71
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,998,159.99,159.99,160.0
eT,A사,y1,AWD,w5,No,Nearly New,84.05,33486,74.4,74.4,74.4
ION5,H사,y0,AWD,w2,No,Pre-Owned,55.836,71888,33.32,33.32,33.33
ID4,V사,y0,AWD,w0,No,Pre-Owned,53.325,91700,39.37,39.37,39.37
iX,B사,y0,RWD,w8,No,Brand New,90.0,158,79.81,79.81,79.82
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,31,100.06,100.06,100.06
M3,T사,y0,RWD,w1,No,Pre-Owned,56.359,196875,52.81,52.81,52.82
ION6,H사,y0,AWD,w9,No,Brand New,90.0,2028,38.95,38.95,38.95
eT,A사,y1,AWD,w5,No,Nearly New,84.05,24954,74.03,74.03,74.04
Soul,K사,y0,FWD,w6,No,Nearly New,56.0,32672,22.7,22.7,22.71
MS,T사,y0,AWD,w7,No,Brand New,96.0,6843,69.12,69.12,69.13
i5,B사,y0,RWD,w4,No,Nearly New,68.967,42138,64.22,64.22,64.23
i5,B사,y1,RWD,w5,No,Nearly New,71.841,18304,60.96,60.96,61.25
ID4,V사,y0,AWD,w0,No,Pre-Owned,53.325,162906,38.23,38.23,38.24
ID4,V사,y0,AWD,w7,No,Brand New,90.0,7656,34.84,34.84,34.85
RSeTGT,A사,y0,AWD,w2,No,Pre-Owned,78.227,85831,97.05,97.05,97.06
Tay,P사,y2,AWD,w0,No,Nearly New,72.991,45654,121.37,121.37,121.38
KNE,H사,y0,FWD,w10,No,Brand New,90.0,2635,21.87,21.87,21.88
EV6,K사,y0,FWD,w10,No,Brand New,90.0,5001,47.44,47.44,47.45
i3,B사,y0,AWD,w0,Yes,Pre-Owned,46.0,61523,22.47,22.47,22.48
ID4,V사,y0,AWD,w7,No,Brand New,90.0,2340,34.54,34.54,34.54
MS,T사,y0,AWD,w1,No,Pre-Owned,75.145,103661,80.78,80.78,80.79
ION6,H사,y0,AWD,w10,No,Brand New,90.0,7806,39.0,39.0,39.0
Soul,K사,y0,FWD,w1,No,Pre-Owned,46.0,87883,21.96,21.96,23.5
ION5,H사,y0,AWD,w9,No,Brand New,90.0,8646,35.61,35.61,35.42
ION6,H사,y0,AWD,w3,No,Pre-Owned,58.162,167425,37.95,37.95,37.95
ION5,H사,y0,AWD,w4,No,Pre-Owned,60.585,59156,34.78,34.78,34.79
i5,B사,y0,RWD,w0,No,Pre-Owned,58.577,69631,60.37,60.37,60.38
MX,T사,y0,AWD,w4,No,Nearly New,96.0,18615,93.83,93.83,93.84
MY,T사,y0,AWD,w8,Yes,Brand New,90.0,955,74.75,74.75,75.78
ID4,V사,y0,AWD,w2,No,Pre-Owned,60.272,141721,40.77,40.77,39.09
Tay,P사,y0,AWD,w2,No,Brand New,90.0,6307,95.09,103.0,95.1
eT,A사,y0,AWD,w7,No,Brand New,91.2,8468,66.06,66.06,66.07
Tay,P사,y0,AWD,w2,No,Pre-Owned,54.849,122983,115.4,115.4,115.41
IONIQ,H사,y2,FWD,w1,No,Pre-Owned,46.21,64713,26.56,26.56,26.56
Soul,K사,y0,AWD,w5,No,Nearly New,56.0,20502,22.18,22.18,22.19
Niro,K사,y0,FWD,w6,No,Nearly New,56.0,34473,27.78,27.78,27.79
i3,B사,y0,RWD,w2,No,Pre-Owned,46.0,124709,23.45,23.45,23.46
ION5,H사,y0,AWD,w9,No,Brand New,90.0,3882,35.99,35.99,35.99
MY,T사,y0,AWD,w7,Yes,Brand New,90.0,8045,64.15,64.15,64.16
ID4,V사,y0,AWD,w7,No,Brand New,90.0,7991,34.77,34.77,34.77
ID4,V사,y0,AWD,w8,No,Brand New,90.0,9238,40.99,40.99,40.99
i3,B사,y1,RWD,w5,No,Nearly New,56.0,27735,23.23,23.23,23.23
RSeTGT,A사,y0,AWD,w3,Yes,Nearly New,78.227,15533,99.04,99.04,99.04
ID4,V사,y1,AWD,w5,No,Nearly New,68.125,25171,40.76,40.76,40.67
iX,B사,y0,AWD,w8,No,Brand New,90.0,9983,80.83,80.83,80.83
eT,A사,y0,AWD,w2,No,Pre-Owned,74.362,113839,72.45,72.45,72.46
IONIQ,H사,y0,FWD,w1,No,Pre-Owned,46.15,63940,16.22,16.22,26.81
eT,A사,y0,AWD,w3,No,Nearly New,77.46,38461,73.97,73.97,73.97
KNE,H사,y0,FWD,w10,No,Brand New,90.0,6078,21.45,21.45,21.45
M3,T사,y0,RWD,w7,No,Brand New,90.0,9262,46.72,46.72,46.73
M3,T사,y0,RWD,w1,No,Pre-Owned,56.359,57256,52.89,52.89,52.9
TayGTS,P사,y0,AWD,w2,No,Nearly New,76.156,27949,159.0,159.0,159.0
ION6,H사,y0,AWD,w9,No,Brand New,90.0,272,39.0,39.0,39.0
Tay,P사,y0,AWD,w2,No,Brand New,90.0,3349,103.84,95.0,103.85
MS,T사,y0,AWD,w0,No,Pre-Owned,69.253,97418,79.7,79.7,79.71
eT,A사,y0,AWD,w4,No,Nearly New,80.688,13279,74.06,74.06,74.06
ION5,H사,y0,AWD,w9,No,Brand New,90.0,3175,35.82,35.82,35.82
Q4eT,A사,y0,AWD,w0,No,Pre-Owned,56.788,68823,55.93,55.93,55.29
ION5,H사,y1,AWD,w7,No,Nearly New,68.479,36227,34.25,34.25,34.26
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,8458,160.16,160.16,160.0
MX,T사,y0,AWD,w0,No,Pre-Owned,72.139,112016,87.98,87.98,87.99
i3,B사,y0,RWD,w2,No,Pre-Owned,46.0,114787,22.54,22.54,22.55
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,70.185,198934,156.42,156.42,156.42
EV6,K사,y0,AWD,w10,No,Brand New,90.0,3702,47.74,47.74,47.74
ION5,H사,y0,AWD,w10,Yes,Brand New,90.0,1943,35.99,35.99,36.0
EV6,K사,y0,FWD,w9,No,Brand New,90.0,5501,41.2,41.2,41.42
i3,B사,y0,RWD,w1,No,Pre-Owned,46.0,196282,22.83,22.83,23.26
EV6,K사,y0,FWD,w9,No,Brand New,90.0,6392,40.25,40.25,40.25
IONIQ,H사,y1,FWD,w3,No,Nearly New,74.52,34670,16.39,16.39,16.4
eT,A사,y0,AWD,w3,No,Nearly New,77.46,21404,73.18,73.18,73.19
EV6,K사,y0,AWD,w9,No,Brand New,90.0,4362,40.88,40.88,40.88
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,8173,100.63,100.63,100.64
M3,T사,y0,RWD,w1,No,Pre-Owned,56.359,176477,52.53,52.53,52.54
